X,Y
125.50278476986568,-79.88022030796856
125.50534061715007,-79.83759487839416
125.50753788265865,-79.80088986456394
125.51010898919776,-79.75779904518276
125.51271824038122,-79.71440304256976
125.51495365385199,-79.67695797653869
125.5176239432185,-79.63284481596202
125.52032474800944,-79.58790005464107
125.52188877452863,-79.56173886265606
125.52468113112263,-79.51517666690052
125.52752689726185,-79.46762264939025
125.5304260669509,-79.41915310593322
125.53209690359654,-79.3910616748035
125.53507999674184,-79.34121884452179
125.53723911585985,-79.30512417526916
125.54029850370716,-79.25391568103805
125.54572300135624,-79.16527737723663
125.54753116867505,-79.13640011753887
125.55059055495076,-79.08807553024963
125.55349735618802,-79.0422152406536
125.55624393816106,-78.9987124344334
125.5577621877892,-78.97486294806004
125.55958561203443,-78.94606961123645
125.56211094226455,-78.90730465715751
125.56393436680082,-78.88016690220684
125.56643680849811,-78.84183682361618
125.56893924932228,-78.8026827708818
125.57114414410898,-78.76831997744739
125.57376865687547,-78.72735775867477
125.57606510311598,-78.69149960391223
125.57879642641637,-78.6488589188084
125.5815735278884,-78.60535610793158
125.58441166131524,-78.5610522176139
125.58689884399064,-78.52246273960918
125.58982090302743,-78.47674740571529
125.59281925554387,-78.43031491152942
125.59551242995076,-78.39061154285446
125.59851078270003,-78.34556759893894
125.60132602858357,-78.30300320172682
125.60359195963247,-78.2684420500882
125.60539249586873,-78.2409609714523
125.60778812598437,-78.20440853619948
125.60843662533443,-78.1943682571873
125.61125187261496,-78.15135373035446
125.61386875412427,-78.11530484305695
125.61576084443368,-78.08896054327488
125.61755375203211,-78.06250180024654
125.61993412370794,-78.02690304489806
125.64793400006602,-77.7489336868748
125.63521580060478,-77.97097195731476
125.61907200107817,-78.25558651797473
125.60183719848283,-78.53205288527533
125.58567814115668,-78.84526242129505
125.56176761782262,-79.27140225283802
125.54515079653356,-79.58088864339516
125.52895359304966,-79.8675555116497
125.50735477602575,-80.25572384614497
125.47876743681263,-80.78849972598255
125.45558170694858,-81.21882809419185
125.43366245506331,-81.62905300734565
125.40953831048682,-82.07784451078624
125.3947525442345,-82.40859402390197
125.37698368274141,-82.823686494492
125.36450962373056,-83.17839230410755
125.35162357520312,-83.55974758882076
125.33835605776403,-83.94457424758002
125.32574466906954,-84.32155789341778
125.31202701904112,-84.68381680641323
125.29727177019231,-85.1918963319622
125.30021671467694,-85.52092160051689
125.30534366948996,-85.81868161307648
125.31467441888526,-86.16765011614189
125.3207474158844,-86.40068234642968
125.32920078595635,-86.62708462681621
125.33875278767664,-87.02108181780204
125.34454349777661,-87.2979067680426
125.35489658551523,-87.58495510928333
125.36441044090316,-87.98531521623954
125.37423710210714,-88.34525479376316
125.38367466331692,-88.6979311844334
125.39838413475081,-89.23697079438716
125.40862278325949,-89.63527859468013
125.4192123815883,-90.01230801595375
125.43026737432228,-90.44794644415379
125.44591526361182,-91.04676236212254
125.45737461245153,-91.49429501406848
125.46730808611028,-91.88088406110182
125.47962192690466,-92.34910000674427
125.49761966860387,-93.05303372070193
125.51071933947969,-93.51860226783901
125.52336887572892,-93.94870937988162
125.54575351951644,-94.64309109514579
125.56135563197313,-95.14709652820602
125.57398227904923,-95.60862149111927
125.59758762596175,-96.364381685853
125.61721042956924,-96.94294155668467
125.63938144873828,-97.45664395345375
125.68551639921498,-98.05149258300662
125.73068241338478,-98.43894375441596
