x,y,velocity,yaw,yawrate
360976.36,3894733.19,0,0,0
360988.70,3894717.83,3,0,0
361019.63,3894717.21,3,0,0
361036.89,3894717.02,3,0,0
361050.94,3894717.18,3,0,0
361057.17,3894722.03,3,0,0
361057.80,3894740.66,3,0,0
361057.04,3894766.73,3,0,0
361052.36,3894771.97,3,0,0
360951.79,3894772.54,3,0,0
360947.03,3894766.95,3,0,0
360949.76,3894729.15,3,0,0
