X,Y,Yaw
360951.8674756916,4065816.034044224,0.0
360951.9879891438,4065815.7546619317,-1.1635537549136357
360951.9461365199,4065815.378046852,-1.6814706068713359
360951.9214228104,4065814.9567654505,-1.6293923581412046
360951.907082079,4065814.624090822,-1.613877034553144
360951.8836308323,4065814.280467374,-1.6389375989379331
360951.86910974886,4065813.936698751,-1.6130120937661243
360951.8454781482,4065813.58198131,-1.6373189417221847
360951.8307767116,4065813.227118695,-1.6122011799619134
360951.82536614314,4065812.894298892,-1.5870516452141608
360951.8376355517,4065812.5500947437,-1.5351656814344725
360951.85026566766,4065812.2280785814,-1.5315944269077304
360951.8519817464,4065811.7841736707,-1.5669304759459628
360951.8649725701,4065811.4843454957,-1.5274958473412676
360951.87579916895,4065811.051389402,-1.5457953089417595
360951.8782366613,4065810.651860463,-1.5646954868089369
360951.8899650259,4065810.274374336,-1.5397366612214634
360951.89312392817,4065809.919221371,-1.5619020775662387
360951.9055737043,4065809.5861112177,-1.5334393622705265
360951.9180234822,4065809.2530010655,-1.533439356756796
360951.9310143176,4065808.9531728933,-1.5274958079899077
360951.9425623383,4065808.5645927726,-1.541086565043325
360951.9471640638,4065808.1982006417,-1.5582374229189881
360951.94761769706,4065807.776628894,-1.5697202748927759
360951.94184643927,4065807.4216211056,-1.5870516024839674
360951.9444642981,4065807.033186162,-1.5640569249362135
360951.9558319757,4065806.6335120504,-1.542361626145229
360951.957548079,4065806.1896071425,-1.5669304204559849
360951.96837470715,4065805.756651051,-1.545795241225095
360951.9722550325,4065805.4458740624,-1.558311091807083
360951.95611079485,4065805.002259503,-1.6071727616158449
360951.96017147345,4065804.547405776,-1.5618691256356863
360951.94420758786,4065804.1147400374,-1.6076761762518148
360951.9437594785,4065803.6930231173,-1.5718589096774584
360951.918865418,4065803.2606477276,-1.6283079443276363
360951.9120120582,4065802.839075982,-1.5870515816663862
360951.91625309375,4065802.4061198942,-1.5610011072948171
360951.889014462,4065801.9738896796,-1.633731906654796
360951.873050575,4065801.5413691183,-1.6076885471277127
360951.85032073123,4065801.2421216485,-1.6466074334471879
360951.8363407102,4065800.9316350124,-1.615792096083796
360951.82236069016,4065800.621148376,-1.6157920926487284
360951.79070066573,4065800.322046084,-1.6762537957778483
360951.78565082187,4065800.0114142713,-1.5870515810032184
360951.7961167642,4065799.5562701975,-1.5478055885830369
360951.80694341334,4065799.1233141124,-1.5457951923454154
360951.8354500725,4065798.678973682,-1.5067291304080586
360951.89110797795,4065798.2563857143,-1.439842798968185
360951.9648066022,4065797.8446013904,-1.3936975158674045
360952.0497799788,4065797.43194602,-1.3677164286064771
360952.23740676104,4065797.0300942967,-1.133973057835802
360952.40022688056,4065796.60576424,-1.2044105529994675
360952.5118104801,4065796.3265271457,-1.1906334147042175
360952.6232137384,4065796.0361960586,-1.2044104921632044
360952.72586717166,4065795.622814831,-1.3273935243230317
360952.92440807377,4065795.3321934007,-0.9714620909439481
360953.0808229758,4065795.063324438,-1.0439029755429081
360953.2372378867,4065794.7944554794,-1.043902944020227
360953.5084827536,4065794.4460413205,-0.9092953734115746
360953.7100896577,4065794.2097284854,-0.8644846706204394
360953.9125983153,4065793.9382464327,-0.9299002591949754
360954.2390474736,4065793.7794463886,-0.4527461214611797
360954.6194384546,4065793.5513241244,-0.5402023492601088
360954.9830511677,4065793.3900561803,-0.4174485063647002
360954.66535181005,4065793.628256217,2.4982416032404497
360955.0389767877,4065793.5334070604,-0.24861010181952223
360955.4133231576,4065793.482933894,-0.13402188656842773
360955.7967800626,4065793.443409566,-0.10271099997679818
360956.1802369704,4065793.4038852537,-0.1027109583788985
360956.58155425085,4065793.3640706223,-0.09888627522427278
360956.97394134855,4065793.324401176,-0.10075539867210932
360957.38436916296,4065793.295535404,-0.07021531623480756
360957.80354682147,4065793.2554304907,-0.09538488012468327
360958.2225441402,4065793.204231604,-0.12159104782921977
360958.6597625164,4065793.1749303886,-0.06691728382198785
360959.0966202124,4065793.1234412105,-0.11732132479985814
360959.5338385937,4065793.0941400398,-0.06691718126118866
360959.837104202,4065793.067016388,-0.08920125876099978
360960.2830724326,4065793.0264760973,-0.09065482577740189
360960.5861577047,4065792.9882584787,-0.1254332664514312
360961.03230628045,4065792.958812221,-0.06590542584107666
360961.46952467354,4065792.929511149,-0.0669169546761666
360961.9158535912,4065792.9111589286,-0.041095002672337524
360962.32628143136,4065792.8822933957,-0.0702147315464936
360962.7729710251,4065792.886129207,0.008586985355436947
360963.2105500952,4065792.8790162113,-0.016253906558741232
360963.6304491316,4065792.8832875555,0.010171961813189856
360964.0412376456,4065792.8766100905,-0.016253806467732043
360964.4520261594,4065792.8699326436,-0.016253762279035223
360964.84495430376,4065792.8635455403,-0.016253711971331512
360965.24699296616,4065792.868107287,0.011346051100558521
360965.63099092373,4065792.8618653812,-0.016253618472226065
360966.0058783627,4065792.8446746585,-0.045823591057842665
360966.4079170228,4065792.8492364595,0.011346185504325179
360966.782984794,4065792.8431397644,-0.016253484508005275
360967.157872235,4065792.8259490924,-0.045823455700414864
360967.51525996794,4065792.8312367396,0.0147941884643582
360967.88175821444,4065792.8474732377,0.04427275853639668
360968.2300354291,4065792.8418120793,-0.0162533166285535
360968.5786733023,4065792.8583389213,0.047368575155782786
360968.91820066015,4065792.8639169415,0.016427301746515563
360969.24004797544,4065792.880879282,0.05265435174618475
360969.55296510446,4065792.8979867897,0.05461667723374101
360969.9553644078,4065792.9247367447,0.06637848418459773
360970.34865319513,4065792.9405378792,0.04015532927891555
360970.72426193825,4065792.967723336,0.0722510755793738
360971.09021918825,4065792.950677991,-0.04654378291635131
360971.48332764435,4065792.955385186,0.011973718277422054
360971.8048142963,4065792.9501596363,-0.01625289663165865
360972.1798820574,4065792.944063178,-0.016252854409043206
360972.5638800025,4065792.9378215824,-0.016252810367213665
360972.992528871,4065792.93085424,-0.016252764161053094
360973.3047246903,4065792.9035859136,-0.08712256153511401
360973.6442520347,4065792.909164123,0.016427859072325187
360973.97448854917,4065792.892699509,-0.049815787388935946
360974.2959752008,4065792.8874740535,-0.016252604137213165
360974.62639203644,4065792.8821034594,-0.016252565347612147
360974.94787868764,4065792.8768780287,-0.0162525274095837
360975.2513246484,4065792.860848918,-0.052774558804675846
360975.56406143575,4065792.8668626533,0.019227012534336074
